,"w=0.7,a1=a2=2"
241,60.56621098895236
242,60.56621098895236
243,60.56621098895236
244,60.56621098895236
245,60.56621098895236
246,60.56621098895236
247,60.56621098895236
248,60.56621098895236
249,60.56621098895236
250,60.56621098895236
251,60.56621098895236
252,60.396221985559734
253,60.16872484527044
254,59.7447969133164
255,59.7447969133164
256,59.7447969133164
257,59.60853324708583
258,59.60853324708583
259,59.60720611177744
260,59.60720611177744
261,59.60720611177744
262,59.60720611177744
263,59.60720611177744
264,59.60720611177744
265,59.60720611177744
266,59.60720611177744
267,59.60720611177744
268,59.60720611177744
269,59.60720611177744
270,59.60720611177744
271,59.60720611177744
272,59.60720611177744
273,59.454549620253275
274,59.454549620253275
275,59.454549620253275
276,59.454549620253275
277,59.15097497257659
278,59.15097497257659
279,59.15097497257659
280,59.15097497257659
281,59.15097497257659
282,59.15097497257659
283,59.15097497257659
284,59.15097497257659
285,59.15097497257659
286,58.68542655032353
287,58.68542655032353
288,58.68542655032353
289,58.68542655032353
290,58.68542655032353
291,58.68542655032353
292,58.68542655032353
293,58.2911717781083
294,58.16447951307158
295,58.06881387101325
296,58.06881387101325
297,58.00947375326772
298,58.00947375326772
299,58.00947375326772
300,58.00947375326772
301,58.00947375326772
302,58.00947375326772
303,58.00947375326772
304,58.00947375326772
305,58.00947375326772
306,58.00947375326772
307,58.00947375326772
308,58.00947375326772
309,58.00947375326772
310,58.00947375326772
311,58.00947375326772
312,58.00947375326772
313,58.00947375326772
314,57.89414766248116
315,57.48762953552393
316,57.469655949836
317,57.469655949836
318,57.469655949836
319,57.469655949836
320,57.469655949836
321,57.469655949836
322,57.469655949836
323,57.469655949836
324,57.469655949836
325,57.469655949836
326,57.469655949836
327,57.469655949836
328,57.469655949836
329,57.469655949836
330,57.469655949836
331,57.469655949836
332,57.469655949836
333,57.469655949836
334,57.469655949836
335,57.469655949836
336,57.469655949836
337,57.469655949836
338,57.469655949836
339,57.469655949836
340,57.469655949836
341,57.469655949836
342,57.469655949836
343,57.469655949836
344,57.469655949836
345,57.469655949836
346,56.91644631577433
347,56.91644631577433
348,56.91644631577433
349,56.91644631577433
350,56.91644631577433
351,56.91644631577433
352,56.91644631577433
353,56.79832442578619
354,56.79832442578619
355,56.79832442578619
356,56.79832442578619
357,56.79832442578619
358,56.79832442578619
359,56.79832442578619
360,56.79832442578619
361,56.79832442578619
362,56.79832442578619
363,56.79832442578619
364,56.79832442578619
365,56.79832442578619
366,56.79832442578619
367,56.70885484063214
368,56.70885484063214
369,56.70885484063214
370,56.1709171067033
371,56.1709171067033
372,56.1709171067033
373,56.1709171067033
374,56.1709171067033
375,56.1709171067033
376,56.1709171067033
377,56.1709171067033
378,56.1709171067033
379,56.1709171067033
380,56.1709171067033
381,56.1709171067033
382,56.1709171067033
383,56.1709171067033
384,56.1709171067033
385,56.1709171067033
386,56.1709171067033
387,56.1709171067033
388,56.1709171067033
389,55.835379475135646
390,55.74360862678286
391,55.74360862678286
392,55.74360862678286
393,55.74360862678286
394,55.73810034734129
395,55.73810034734129
396,55.73810034734129
397,55.73810034734129
398,55.49807586958388
399,55.49807586958388
400,55.49807586958388
401,55.49807586958388
402,55.49807586958388
403,55.49807586958388
404,55.49807586958388
405,55.49807586958388
406,55.43265361651749
407,55.43265361651749
408,55.31289438054659
