,"w=0.7,a1=1.6,a2=0.6"
102,4.301604302261992
103,4.294071099311001
104,4.231731266163495
105,4.231731266163495
106,4.205966639215005
107,4.205966639215005
108,4.198405725013995
109,4.183702077468978
110,4.157828246633093
111,4.152598192852759
112,4.124952542901374
113,4.0755703400186425
114,4.0755703400186425
115,4.0755703400186425
116,4.066027966231677
117,4.066027966231677
118,4.066027966231677
119,4.066027966231677
120,4.051097141584533
121,4.051097141584533
122,3.9401567557776236
123,3.893563024418166
124,3.893563024418166
125,3.893563024418166
126,3.7579151580910537
127,3.7579151580910537
128,3.73543824312934
129,3.73543824312934
130,3.709413018910312
131,3.57741223053019
132,3.57741223053019
133,3.572915299300915
134,3.478500671398368
135,3.478500671398368
136,3.478500671398368
137,3.478500671398368
138,3.478500671398368
139,3.454302634801653
140,3.454302634801653
141,3.4266302218592135
142,3.3417037012396955
143,3.3276300527832934
144,3.3276300527832934
145,3.280672550223967
146,3.280672550223967
147,3.250754443725855
148,3.250754443725855
149,3.250754443725855
150,3.250754443725855
151,3.250754443725855
152,3.250754443725855
153,3.250754443725855
154,3.250754443725855
155,3.250754443725855
156,3.2208193090513544
157,3.2208193090513544
158,3.2208193090513544
159,3.2208193090513544
160,3.2208193090513544
161,3.2208193090513544
162,3.2208193090513544
163,3.2208193090513544
164,3.189766134275119
165,3.189766134275119
166,3.12619656742339
167,3.088689555839445
168,3.088689555839445
169,3.0267859989376533
170,2.999534378391309
171,2.999534378391309
172,2.999534378391309
173,2.999534378391309
174,2.974693939833928
175,2.974693939833928
176,2.9466578321570456
177,2.9466578321570456
178,2.9466578321570456
179,2.9466578321570456
180,2.9466578321570456
181,2.9466578321570456
182,2.908323786140243
183,2.908323786140243
184,2.908323786140243
185,2.908323786140243
186,2.908323786140243
187,2.8890645502939107
188,2.8890645502939107
189,2.8357204404578003
190,2.8357204404578003
191,2.817643633485467
192,2.809890854798606
193,2.809890854798606
194,2.8065993804415412
195,2.8065993804415412
196,2.8065993804415412
197,2.8065993804415412
198,2.8065993804415412
199,2.8065993804415412
200,2.8065993804415412
201,2.7550725896522
202,2.7550725896522
203,2.7550725896522
204,2.702479773577636
205,2.702479773577636
206,2.67591252768526
207,2.615624126338746
208,2.615624126338746
209,2.615624126338746
210,2.615624126338746
211,2.615624126338746
212,2.615624126338746
213,2.615624126338746
214,2.615624126338746
215,2.5543342414478114
216,2.5543342414478114
217,2.5543342414478114
218,2.5543342414478114
219,2.5543342414478114
220,2.531328852057508
221,2.531328852057508
222,2.531328852057508
223,2.531328852057508
224,2.531328852057508
225,2.531328852057508
226,2.531328852057508
227,2.531328852057508
228,2.531328852057508
229,2.4939627164570055
230,2.4939627164570055
231,2.4835966243124616
232,2.4835966243124616
233,2.4835966243124616
234,2.469748629909005
235,2.469748629909005
236,2.469748629909005
237,2.4639329241094567
238,2.4639329241094567
239,2.4639329241094567
240,2.45968793886343
241,2.4018055501500757
242,2.4018055501500757
243,2.4018055501500757
244,2.3903247400333867
245,2.3903247400333867
246,2.3903247400333867
247,2.3903247400333867
248,2.310812688520081
249,2.310812688520081
250,2.310812688520081
251,2.29490654450266
252,2.29490654450266
253,2.29490654450266
254,2.29490654450266
255,2.2548363526433395
256,2.2548363526433395
257,2.2524911520720137
258,2.2524911520720137
259,2.2391811412315112
260,2.2391811412315112
261,2.2391811412315112
262,2.2391811412315112
263,2.2391811412315112
264,2.2391811412315112
265,2.1967971466477363
266,2.1967971466477363
267,2.1967971466477363
268,2.1967971466477363
269,2.1967971466477363
270,2.1967971466477363
271,2.1967971466477363
272,2.1967971466477363
273,2.1967971466477363
274,2.1967971466477363
275,2.1967971466477363
276,2.1967971466477363
277,2.1967971466477363
278,2.1967971466477363
279,2.1967971466477363
280,2.1967971466477363
281,2.1967971466477363
282,2.1967971466477363
283,2.1967971466477363
284,2.1967971466477363
285,2.1967971466477363
286,2.1967971466477363
287,2.1967971466477363
288,2.1967971466477363
289,2.1967971466477363
290,2.1967971466477363
291,2.1967971466477363
292,2.1967971466477363
293,2.1967971466477363
294,2.1967971466477363
295,2.1967971466477363
296,2.1967971466477363
297,2.1967971466477363
298,2.1967971466477363
299,2.1967971466477363
300,2.1967971466477363
301,2.1967971466477363
302,2.1967971466477363
303,2.1967971466477363
304,2.1967971466477363
305,2.1967971466477363
306,2.1934485303488698
307,2.1934485303488698
308,2.1934485303488698
309,2.1934485303488698
310,2.1934485303488698
311,2.1934485303488698
