,Rastrigin_process
148,0.0961515263710307
149,0.0961977340457535
150,0.09614158948111988
151,0.09626437786354194
152,0.09637979567139329
153,0.09667443461852193
154,0.09657968494087026
155,0.09701180688128633
156,0.09718968614523678
157,0.09721960661812892
158,0.09725489294286965
159,0.09717557716211885
160,0.097515389248283
161,0.09729699796960901
162,0.09735460155547229
163,0.09748285672803644
164,0.09772254786257521
165,0.09782786058500377
166,0.09773674398546309
167,0.0976403301362869
168,0.09781550097774751
169,0.09793235993267868
170,0.0979724519369735
171,0.09806082040879845
172,0.09815290439053688
173,0.09815137405662437
174,0.09834398306104394
175,0.09874904295114356
176,0.09877754483267545
177,0.098818073291209
178,0.09924705170397198
179,0.09941473515745636
180,0.10019285688500285
181,0.10017848425207147
182,0.10046681011126189
183,0.10059002239136755
184,0.1006702687705289
185,0.10075165078674632
186,0.10095064328123128
187,0.10107960284268828
188,0.10119243643042379
189,0.10128118685242384
190,0.10132812532386559
191,0.10154366138251143
192,0.10187641040230305
193,0.10195787926372923
194,0.10214092607511166
195,0.10242959405631487
196,0.10245462114875473
197,0.10250049715119247
198,0.10267749182087238
199,0.10257704291045205
200,0.10275536889131288
201,0.1028629366921823
202,0.1029138666498241
203,0.10299945601498169
204,0.10307937180680621
205,0.1034013532730542
206,0.10339142139397599
207,0.1034554996061898
208,0.10438625231794327
209,0.10409036439935603
210,0.1037200699949601
211,0.10374028843505832
212,0.10438073794558361
213,0.10435285115062737
214,0.1045496315219606
215,0.10458027401703067
216,0.10445653719235466
217,0.10460906543662722
218,0.10469629337574445
219,0.10463926526809263
220,0.10467693768246483
221,0.10478882691382764
222,0.10487863787745227
223,0.10500317904610054
224,0.10510813921445819
225,0.10530814674453731
226,0.10543529490929199
227,0.10552053786393967
228,0.1055379868445805
229,0.10570373723295834
230,0.10578703146805273
231,0.10580376958011642
232,0.10641329723594709
233,0.10610438129412901
234,0.10613370560841225
235,0.10656158367048382
236,0.10662518841060832
237,0.10674695245595381
238,0.1069270686165432
239,0.10692785668123331
240,0.10686609631410902
241,0.10703001809675101
242,0.1071005283604584
243,0.10736117487958897
244,0.10741340029119027
245,0.1076009095214915
246,0.10761680803337355
247,0.10792062241959259
248,0.10814076229659805
249,0.1082664887594466
250,0.10842372603630471
251,0.10843216583202149
252,0.10859663961909426
253,0.10851608950226492
254,0.10862007795633948
255,0.10881393617370236
256,0.10895012050692075
257,0.10947073148218345
258,0.10963257693509892
259,0.10970812354329817
260,0.1097551913117692
261,0.109706231544467
262,0.10988917217105025
263,0.1099643506360307
264,0.10994726255766303
265,0.11025193193400887
266,0.11055066910714922
267,0.1107162696855977
268,0.11092467135316827
269,0.11094802559814163
270,0.11098142223254272
271,0.11105507070516772
272,0.11107919025202388
273,0.11117657076927988
274,0.11164251911875205
275,0.11149392454401788
276,0.11153813882517967
277,0.11175506342030704
278,0.11202354688147885
279,0.11188942055770677
280,0.11187258915924918
281,0.11221213496840131
282,0.11243097165918982
283,0.11197769143601775
284,0.11215201872612725
285,0.11251551103896135
286,0.11245249520392885
287,0.11221038479806462
288,0.11223567908303478
289,0.1122332136894282
290,0.11235916651198023
291,0.11243519709097873
292,0.11293326158076127
293,0.11272301664877653
294,0.11272648284544047
295,0.11266074923312752
296,0.11293308534291689
297,0.11284796203470844
298,0.11300740013829254
299,0.11321728868099633
